Site,FavIcon,SecureProtocol,CheckPort,SiteAge,SiteLength,SpecialCharacters,Certificate,Malicious Links,Swapped,Pulse Count,Malicious count,IsSafe
http://www.yacht-tng.com/webservice/secure/Security/SSL/inc/Costumer/SSL/Update/manage/customer_center/customer-IDPP00C785/myaccount/signin/?country.x=RO&locale.x=en_RO,0,0,0,0,0,1,0,0,0,0,100,0
https://scmp.com,0,0,0,0,0,0,0,0,0,0,100,1
http://www.vrtec-konjice.si/ts/Confirmation-iTunes/b1198bdd0a9a3dfe8c75fbc3b0cfa59a/,0,1,0,0,2,1,0,0,0,0,0,0
http://juliannedanielle.com/wp-content/plugins/sexy-contact-form/includes/fileupload/files/codes.html,1,1,0,0,0,0,0,0,0,0,100,0
https://prestashop.com,0,0,0,0,0,0,0,0,0,1,100,1
https://www.learnoutloud.com/external.php?url=http%3A%2F%2Fneuromedicale.fr%2Fde%2Fdee%2Findex.php/,0,0,0,0,0,0,0,0,0,0,0,0
http://cbcfilm.pl/usssa/touuui/,0,1,0,0,0,0,0,0,0,26,100,0
https://economist.com,0,0,0,0,0,0,0,0,0,2,100,1
http://www.yelyo.com/crons/questions.php,0,1,0,0,0,0,1,0,0,0,0,0
https://sports.yahoo.com,0,0,0,0,0,0,0,0,0,0,100,1
http://waxhand.com.ua/wp-admin/css/wp-adrnin/c4/Bspota-dmin.htm,1,1,0,0,0,0,1,0,0,0,4,0
http://www.artesanalbrasil.com.br/redirect.php,0,0,0,0,0,0,0,0,0,26,11,0
https://domainmarket.com,0,0,0,0,0,0,0,0,0,0,100,1
http://smptruck.com/tmp/install_4c72286483802/include.html,0,0,0,1,1,0,0,0,0,0,0,0
http://ashayein.com/wp-content/themes/nanna.html,0,0,0,0,0,0,0,0,0,0,2,0
http://zoocrewconstruction.co/wp-content/plugins/quick-setup/mailupdate/others/ii.php?n=1774256418,1,0,0,0,0,0,0,0,0,0,1,0
http://cbango.com.ar/img/,1,1,0,0,0,0,1,0,0,0,0,0
http://rnb51.com/2015/logs/error.php,1,1,0,0,0,0,1,0,0,27,3,0
https://webbr22.weebly.com/,1,0,0,0,0,0,0,0,0,0,0,0
https://esqueflipas.com/,1,0,0,0,0,0,0,0,0,0,0,0
http://mariamsecret.ru/wp-content/themes/css/,0,0,0,0,0,0,0,0,0,1,30,0
http://webapps-secure-service-paypal.supermatrimony.com/30ba336d435c08a89cd57ad4f70e9b79/,1,1,0,0,2,1,1,0,0,0,100,0
http://airte.in,1,1,0,0,0,0,0,0,0,0,100,0
http://paversengland.com/wp-content/plugins/2013googledocs,0,0,0,0,0,0,0,0,0,0,100,0
